Application number,Title,Applicant(s),Inventor(s),Filing date,Application status,
2015101524,An Analogue Interface Protection Circuit,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101526,An Anti-Reverse Limited Current Circuit for External Input of Optical Coupler,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101527,A Starting Protection Circuit of Low-Voltage and High-Power Motor,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101528,An Improved Rotating Shaft Structure of Motor Rotor,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101529,A Bus Door Starting Mechanism,"Zhejiang Jinguang Solar Technology Co., Ltd.","Zhao, Haiqiang",16/10/2015,GRANTED,
2015101530,An Auxiliary Tooling for Drilling Holes on Annular Wall of Motor End Cover,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101532,A Mechanism for connecting Worm with Rotating Shaft of Motor,"Zhejiang Jinguang Solar Technology Co., Ltd.","Shen, Tujun",16/10/2015,GRANTED,
2015101533,An Improved structure of electric brush,"Zhejiang Jinguang Solar Technology Co., Ltd.","Ma, Yaohui",16/10/2015,GRANTED,
2015101534,A Structure for Connecting Carbon Brush Mounting Plate with End Cover,"Zhejiang Jinguang Solar Technology Co., Ltd.","Ma, Yaohui",16/10/2015,GRANTED,
2015101535,An Improved Structure of Electric Hand Drill,"Zhejiang Jinguang Solar Technology Co., Ltd.","Sun, Zhubing",16/10/2015,GRANTED,
2015101536,An Insulating Powder Coating Device for Stator,"Zhejiang Jinguang Solar Technology Co., Ltd.","Wang, Xin",16/10/2015,GRANTED,
2015101537,An Improved Structure for Mounting Insulating Paper in Motor Stator Iron Core,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101538,A Motor stator structure,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101539,A Motor,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101540,An Improved Motor,"Zhejiang Jinguang Solar Technology Co., Ltd.","Lu, Jianguo",16/10/2015,GRANTED,
2015101541,A Structure for Combining Code Disc of Encoder of Motor with Electromagnetic Brake,"Zhejiang Jinguang Solar Technology Co., Ltd.","Ma, Yaohui",16/10/2015,GRANTED,
2015101565,"A SOLAR POWERED ELECTRIC FAN USING 12V DIRECT CURRENT (DC) MOTOR, COMPRISING THE MAIN FAN BODY AND A SOLAR CELL, WHEREIN SAID MAIN FAN BODY CONTAINS A HOUSING, FAN BLADES, AND A THREE-PHASE BRUSHLESS DIRECT CURRENT(BLDC) MOTOR, AND WHEREIN SAID BLDC MOTOR DRIVES THE FAN BLADES TO ROTATE CIRCUMFERENTIALLY, CHARACTERISING IN THAT SAID BLDC MOTOR IS CONNECTED DIRECTLY TO THE SOLAR CELL VIA CONDUCTING WIRE, WHEREIN SAID BLDC MOTOR CONTAINS A ROTOR AND A STATOR CORE, AND WHEREIN SIAD STATOR CORE COMPRISES A PLURALITY OF TEETH OF THE SAME SIZE AND SPECIFICATIONS DISPOSED EVENLY ON THE PERIPHERY OF","HUANG, WENTONG MS","HUANG, WENTONG",22/10/2015,GRANTED,
2015101571,Solar Pedelec Tricycle Electric Vehicle,"Brook, Sapoty MR","Brook, Sapoty",22/10/2015,GRANTED,
2015101635,"A method by which energy collected and/or converted technology Systems such as from so-called renewable energy sources including solar, wind or thermal, may be installed on common property in fractionally-owned properties and to distribute the products and the costs of that energy equitably including proportionally to their proprietorship.","Seeger, colin Laird","Seeger, colin Laird",8/11/2015,GRANTED,
2015101715,A SOLAR POWERED LIGHTING SYSTEM,Kimberley Plastics Pty Ltd,"Kimberley, Brian",24/11/2015,GRANTED,
2015101750,SOLAR SHUTTERS,"Lyons, Mark Jack MR","Lyons, Mark Jack",4/12/2015,GRANTED,
2015101860,For solar cell of similar particle accelerator architecture,"TANG, Richard Zhao Kun Mr","TANG, Richard Zhao Kun",10/11/2015,GRANTED,
2015200124,"Photobioreactors, solar energy gathering systems, and thermal control methods","Joule Unlimited Technologies, Inc.","Morgan, Frederick W.; Jacobson, Stuart A.; Van Walsem, Johan",13/01/2015,FILED,
2015200219,Self-activated front surface bias for a solar cell,"Solexel, Inc.","Zingher, Arthur R.",19/01/2015,FILED,
2015200515,Solar power generation display assembly and method for providing same,SunPower Corporation,"Mackler, Laurence",3/02/2015,FILED,
2015201440,A PHOTOVOLTAIC DEVICE FOR A CLOSELY PACKED ARRAY,Solar Systems Pty Ltd,"Lasich, John Beavis; Verlinden, Pierre Jacques",18/03/2015,LAPSED,
2015201631,Method of designing a concentrated solar cavity receiver,Commonwealth Scientific and Industrial Research Organisation,"Burton, Alexander Ian",30/03/2015,FILED,
2015201996,Trench process and structure for backside contact solar cells with polysilicon doped regions,SunPower Corporation,"Smith, David D.; Cousins, Peter John; De Ceuster, Denis",21/04/2015,FILED,
2015202537,Coaxial ventilator,"Teoh, Siang Teik","Teoh, Siang Teik",11/05/2015,FILED,
2015202730,Solar Power Export Limiter,"Devitt, Christopher MR","Devitt, Christopher",20/05/2015,FILED,
2015203307,SOLAR CELL SYSTEM,BLUESCOPE STEEL LIMITED,"CHRISTIAN, David; PATEL, Niraj",11/06/2015,FILED,
2015203498,Trench process and structure for backside contact solar cells with polysilicon doped regions,SunPower Corporation,"Smith, David D.",24/06/2015,FILED,
2015204271,Power generation plant integrating concentrated solar power receiver and pressurized heat exchanger,The Babcock & Wilcox Company,"SAKADJIAN, Bartev B.; FLYNN, Thomas J.; HU, Shengteng; VELAZQUEZ-VARGAS, Luis G.; MARYAMCHIK, Mikhail",13/07/2015,FILED,
2015210424,"1. Enduro Camper 2. All Terrain Biker Camper 3. Aussie Camper, is a attachable camp kit designed for the endurance rider or the weekend out. With a customisable bracket it can fit different makes and models of touring, cruiser and on/off road motorcycles. A inbuilt solar power system is included in the design for modern day conveniences and extended stays in the one location. may also fit other motorcycle classes at owner choice. (Warranty void)","Sweetman, Jordon Thomas James MR","Sweetman, Jordon Thomas James",7/08/2015,FILED,
2015215858,Solar reflecting and condensing device using thin film,"TIANJIN TAIYANGSHEN TECHNOLOGY CO., LTD.","DENG, Daren",19/08/2015,FILED,
2015221500,Photovoltaic solar concentration system,"Abengoa Solar New Technologies, S.A.","Jimenez, Sebastian Caparros; Davenport, Thomas Lewis Rowley",3/09/2015,FILED,
2015222967,Solar module with aligning encapsulant,SunPower Corporation,"Bunea, Gabriela Elena",26/02/2015,FILED,
2015224402,Micro-concentrator solar array using micro-electromechanical systems (MEMS) based reflectors,The Boeing Company,"Singer, Scott Benjamin; Krut, Dimitri D.; Karam, Nasser H.",8/09/2015,FILED,
2015224439,Solar Generator Platform,powerak Pty Ltd,"CAP, George Jaroslav; Woodfield, Ross",9/09/2015,FILED,
2015230704,Solar Power System,Mabo Pty. Ltd,"Tournier, Michael; Falvo, Antonio",21/09/2015,FILED,
2015230723,Photovoltaic component for use under concentrated solar flux,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - CNRS; ELECTRICITE DE FRANCE; UNIVERSITE PIERRE ET MARIE CURIE (PARIS 6),"LINCOT, Daniel; PAIRE, Myriam; GUILLEMOLES, Jean-Francois; PELOUARD, Jean-Luc; COLLIN, Stephane",22/09/2015,FILED,
2015236203,Passivation of light-receiving surfaces of solar cells,SunPower Corporation; Total Marketing Services,"Rim, Seung Bum; Solomon, Genevieve A.; Johnson, Michael C.; Damon-Lacoste, Jerome; Salomon, Antoine Marie Olivier",24/03/2015,FILED,
2015236205,Solar cell with trench-free emitter regions,SunPower Corporation,"Smith, David D.",24/03/2015,FILED,
2015252135,"Solar heat collecting system, and apparatus and method of controlling the same",Kabushiki Kaisha Toshiba,"Goto, Koichi; Takahashi, Masahiko; Yamashita, Katsuya; Okita, Nobuo",6/11/2015,FILED,
2015255208,Support for solar energy collectors,SunPower Corporation,"Barton, Nicholas",11/11/2015,FILED,
2015258171,Solar thermal power generation system,"MITSUBISHI HITACHI POWER SYSTEMS, LTD.","Mishima, Nobuyoshi; Nagafuchi, Naoyuki",17/11/2015,FILED,
2015258330,Solar Power Generation Assembly and Method for Providing Same,SunPower Corporation,"Mackler, Laurence",20/11/2015,FILED,
2015261637,Solar Power Conversion System,"Davies, Kevin Stephen","Davies, Kevin Stephen",26/11/2015,FILED,
2015261650,VERTICALLY STACKED PHOTOVOLTAIC AND THERMAL SOLAR CELL,University of Houston,"Curran, Seamus; Dias, Sampath; Liao, Kang-Shyang; Yambem, Soniya Devi; Haldar, Amrita; Alley, Nigel",26/11/2015,FILED,
2015264788,Portable Solar Heating Apparatus,"Plowman, Garth Robert","Plowman, Garth Robert",1/12/2015,FILED,
2015264923,Illumination Apparatus,Solar Lighting Towers Pty Ltd,"Edwards, Graeme Phillip; Edwards, Shannon Ryan; Edwards, Clinton James",4/12/2015,FILED,
2015323849,High-efficiency N-type bifacial solar cell,"Shanghai Shenzhou New Energy Development Co., Ltd.","Zheng, Fei; Zhang, Zhongwei; Shi, Lei; Ruan, Zhongli; Tao, Zhihua; Zhao, Yuxue",14/05/2015,FILED,
2015900014,SOLAR POWERED ELECTRICAL DEVICE TRAILER,Joshmika Pty Ltd,"Fry, Ian",5/01/2015,LAPSED,
2015900058,Solar Energy Collection System,"Palmer, Glen Scott; Van Dongen, Charles","Palmer, Glen Scott; Van Dongen, Charles",9/01/2015,LAPSED,
2015900409,Solar cell fabrication,The Australian National University,"Zin, Ngwe",10/02/2015,LAPSED,
2015900712,"SOLAR PANEL CELL Solar panel cell including semi-conductive and conductive layers, wherein at least one of conductive layer consists of graphene-content material.","Volkov, Viktor Vladimirovich MR","Volkov, Viktor Vladimirovich; Pimenov, Alexander Vsevolovich",1/03/2015,LAPSED,
2015900797,Modular Solar Lighting and Power Management System and Apparatus,REDI-LITE PTY LTD,"Hawley, Mark; Flint, Tony",6/03/2015,LAPSED,
2015900989,SOLAR ENERGY CONCENTRATORS,"Yeomans, Allan James Mr","Yeomans, Allan James",19/03/2015,LAPSED,
2015901291,Solar Concentrator Enclosure for Photovoltaic Modules,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",11/04/2015,LAPSED,
2015901538,Solar panel system,Elite Caravans (Australia) Pty Ltd,"VIDUKA, IVAN; MILKOVIC, TOMMY; MURRAY, DUNCAN",30/04/2015,LAPSED,
2015901544,"The invention is automatically controlled by a powerful programmable electronic computer controller which results in the most efficient, effective most rapid evaporation of the process water and it utilises solar or other heat, wind and the processes of accelerated evaporation, settlement, flocculation, chemical separation and crystallisation to reduce the volume of the process water and to extract salts, minerals, compounds, chemicals and elements that can have commercial value.","Palmer, Frank Mr","Palmer, Frank",30/04/2015,LAPSED,
2015901667,Portable Solar Tracker,PEEL JAMES & LYNETTE,"Peel, James Alexander",8/05/2015,FILED,
2015901776,Mobile Solar Generating and Expanding Solid Spacious Dwellings,PRODENGIN PTY. LTD.,"Kelly, Kevin John",17/05/2015,FILED,
2015901849,Solar Powered Signage Signs Solar Powered Letter box numbers,The trustee for the Carubia Projects Trust,"Carubia, Alf",21/05/2015,FILED,
2015902236,Integration of solar photovoltaic systems with other systems,5B IP Holdings Pty Ltd,"McGrath, Chris; Tehan, Eden",12/06/2015,FILED,
2015902244,Solar Concentrator Housing for Photovoltaic Modules,"Eng, Yeon Kieng MR",Not Given,4/06/2015,FILED,
2015902324,"Electroactive materials, printing compositions and methods of manufacturing solar cells",Commonwealth Scientific and Industrial Research Organisation,Not Given,18/06/2015,FILED,
2015902385,Solar Power Panel Reflector Assembly,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",21/06/2015,FILED,
2015902415,Improvements in Capture and Re-Use of Carbon Dioxide and use of Solar Energy,D U T PTY LTD,"Cummings, Donald Ray; Sorrell, Charles; Palfreyman, Doug",23/06/2015,FILED,
2015902433,Solar Power Panel with integral Reflector,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",24/06/2015,FILED,
2015902578,INSTALLATION ARRANGEMENT SUITABLE FOR USE WITH A SOLAR PANEL,Alver Pty Ltd,"Sherwood, Glen",1/07/2015,FILED,
2015902613,Combined Wind Solar Generator,"Wilson, Richard Randal","Wilson, Richard Randal",2/07/2015,FILED,
2015902629,SOLAR PANEL RACKING ARRAY,Powerak Pty Ltd,"CAP, George Jaroslav",3/07/2015,FILED,
2015902661,A mesh-system for installing solar power panels,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",6/07/2015,FILED,
2015902694,new solar concentrator,SOLAR SURE PTY. LTD.,"shaw, ian henry",8/07/2015,WITHDRAWN,
2015902696,A frameless solar power panel,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",8/07/2015,FILED,
2015902700,Frameless Solar Panel Mounting and Panel Cooling System,"Flatow, Wolfgang MR","Flatow, Wolfgang",8/07/2015,FILED,
2015902717,A dual-axis solar tracking system for solar power panels,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",9/07/2015,FILED,
2015902779,A METHOD FOR FORMING A CONTACTING STRUCTURE TO A BACK CONTACT SOLAR CELL,Chanzhou Trina Solar Energy Co. Ltd.; Meyer Burger AG; NewSouth Innovations Pty Limited,"LI, ZHONGTIAN; LENNON, ALISON JOAN; HSIAO, PEI-CHIEH (PAGET); SOEDERSTROEM, THOMAS; YAO, YU; JIANG, YU",14/07/2015,FILED,
2015902855,Prestore for solar power,"Mierisch, Robert Charles MR","Mierisch, Robert Charles",18/07/2015,FILED,
2015902858,This invention is a Stackable Planter Pot designed to be assembled with another of the same design around posts or poles and stacked multiple times to create a planting arrangement for various plants. This arrangement is further complimented by the addition of multiple self adhesive strips of spaced LED lights powered by a set of solar cell panels to create a night time ambient environment.,"Reynolds, Neil Andrew MR","Reynolds, Neil Andrew",20/07/2015,FILED,
2015902901,A Solar Power Panel Enclosure with an Internal Support Structure,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",22/07/2015,FILED,
2015902962,Solar or mechanical trailer or commercial vehicle mounted remote or manual elevation Ramp/stepping Safety platform module,"harris, mark MR","harris, mark",25/07/2015,FILED,
2015903006,1. Summary of invention • Over load issue when too much power is drawn from MPS unit then the unit shuts down all power goes off • No control into load current distribution this means did not distribute amps as needed • Only one input connection at a time that is Solar only with one set of windings • No auto external motor or generator start when power is depleted from battery storage devise • No Auto change from Solar and natural power to battery power,LEDTEK GLOBAL PTY LTD; LedTek Power Corporation,"Aucone, Anthony",28/07/2015,FILED,
2015903043,improved solar concentrator,SOLAR SURE PTY. LTD.,"shaw, ian henry",30/07/2015,FILED,
2015903067,Photovoltaic and Solar Thermal Roof Tile Integrated into Roof Tile System,BIPV Trust,"Leahy, Mary",2/08/2015,FILED,
2015903261,Solar Receiver,Adelaide Research & Innovation Pty Ltd,Not Given,13/08/2015,FILED,
2015903371,SOLAR PV TUBE,"Majkic, Bogdan MR","Majkic, Bogdan",20/08/2015,FILED,
2015903376,Solar powered nightlight scene creations,"paterson, jodi MISS","paterson, jodi",20/08/2015,FILED,
2015903411,Solar Powered Fertigation System,"Coomer, Ron","Coomer, Ron",24/08/2015,FILED,
2015903446,A PHOTOVOLTAIC SOLAR WATER HEATING SYSTEM,New England Solar Power Pty Ltd,"Taber, Rob",26/08/2015,FILED,
2015903449,A method of encapsulating and suspending solar PV cells,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",26/08/2015,FILED,
2015903593,A Plastic Multi-Wall Solar PV panel,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",2/09/2015,FILED,
2015903629,A Solar PV panel with a Longitudinal Extruded Plastic Body,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",4/09/2015,FILED,
2015903653,"Flexible LED Solar Powered Light, with Flexible Battery, Dual Peltier and Magnetic attachment layers.","buckingham, Jayson MR","buckingham, Jayson",8/09/2015,FILED,
2015903675,Interconnection arrangements for solar cells,The Australian National University,"Stocks, Matthew Justin; Weber, Klaus Johannes; Blakevs, Andrew William",9/09/2015,FILED,
2015903687,"To design and manufacture various size Head and (tomb) stones,plaques, monumental full length stone and vaults for the deceased (note-for both human or animal) .Made from various materials eg : Aluminium, extruded hard plastics carbon fiber, steels,timber and other natural minerals. With a built in electronic monitor screen or tablet like device which runs off D.C power gaining charge from solar energy which gives a brief run down of the owners life as well as enabling visitors to leave a brief message for family members. Also other features include opening doors for memorabilar.","seufatu, paul leo MR","seufatu, paul leo",10/09/2015,FILED,
2015903757,"Increasing the efficiency of solar panels utilising a Dome, Geodesic Dome (full or partial) and/or panel fitted over and/or afixed to the solar panel. This invention will reducing the operating temperature of the solar panels at the hottest part of the day and increase sunlight and operating temperture at the coolest parts of the day (after sunrise, early AM and evening PM, before suset). These measures will increase the amount of electricial output produced at each point of the day, thereby improving the solar panels efficiency and economics.","Johnson, Clive Lindsay Mr","Johnson, Clive Lindsay",15/09/2015,FILED,
2015903797,Solar Power System,MABO Pty. Ltd,"Tournier, Michael; Falvo, Tony",17/09/2015,FILED,
2015903917,A method of encapsulating and installing solar PV cells,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",25/09/2015,FILED,
2015904072,SOLAR REFLECTOR MOUNT,"POWELL, Trevor","POWELL, Trevor",7/10/2015,FILED,
2015904264,Method for graphene coating of solar panel comprising: a) apposition of graphene-content metallic foil on the surface of silicon panel; b) mechanical lamination of said foil onto silicon surface; c) dissolution of said metal foil by solution of active chemical; d) rinsing of silicon surface coated with graphene layer; e) drying of coated surface by IR heating.,"Volkov, Viktor Vladimirovich MR","Volkov, Viktor Vladimirovich; Pimenov, Alexander Vsevolodovich",17/10/2015,FILED,
2015904291,A portable frame for supporting a solar panel,"Carless, Glen","Carless, Glen",20/10/2015,FILED,
2015904349,HEAT ENERGY STORAGE METHOD AND APPARATUS FOR USE WITH SOLAR ENERGY COLLECTING APPARATUS,"Yeomans, Allan James MR","Yeomans, Allan James",23/10/2015,FILED,
2015904469,SOLAR REFLECTOR MOUNT 2,"POWELL, Trevor","POWELL, Trevor",30/10/2015,FILED,
2015904470,REFLECTOR ASSEMBLY FOR A SOLAR COLLECTOR 2,"POWELL, Trevor","POWELL, Trevor",30/10/2015,FILED,
2015904533,Solar collector,Graphite Solar Power Pty Ltd,"Hollis, Stephen; Gentle, Richard Howard",5/11/2015,FILED,
2015904557,A Roof Module and a Roof for a Building,Solar Energy Roofs Pty Ltd,"Wardani, Hassan; Zombori, Zsolt; Forte, Danne",6/11/2015,FILED,
2015904617,Thermostat,New England Solar Power Pty Ltd,"Taber, Rob",10/11/2015,FILED,
2015904793,MULTIPLE-EFFECT DISTILLATION APPARATUS AND SYSTEM,Solar Pure Technologies Pty Ltd,"van de Loo, Paul; Unsworth, Paul",20/11/2015,FILED,
2015904809,Solar Trailer Generator,"Wessels, Aden Dalton MR","Wessels, Aden Dalton",21/11/2015,FILED,
2015904873,A SOLAR HOT BOX and POT ARRANGEMENT FOR COOKING and WATER HEATING/STERILISING and which PROVIDES AN ALTERNATIVE TO BATTERY STORAGE,"Smith, Frank Hamilton MR","Smith, Frank Hamilton",25/11/2015,FILED,
2015904874,AN ECONOMICAL SOLAR WATER HEATER FOR DEVELOPED and DEVELOPING COUNTRIES and which REDUCES PV and BATTERY STORAGE NEEDS FOR BOTH.,"Smith, Frank Hamilton MR","Smith, Frank Hamilton",25/11/2015,FILED,
2015904973,SOLAR COOKER,"Butler, Dale MR","Butler, Dale",1/12/2015,FILED,
2015905084,Intelligent Solar House Number,"Yemm, Gareth David James MR","Yemm, Gareth David James",8/12/2015,FILED,
2015905106,Solar Pumped-Storage Hydroelectricity system,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",10/12/2015,FILED,
2015905176,A system of suspending flexible solar PV panels,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",15/12/2015,FILED,
2015905218,Portable Solar Photovoltaic Array,5B IP Holdings Pty Ltd,"Tehan, Eden; McGrath, Chris",16/12/2015,FILED,
2016100112,Solar Power System,Mabo Pty. Ltd,"Tournier, Michael; Falvo, Antonio",4/02/2016,GRANTED,
2016100123,H2Home is a domestic electricity reclaim module providing nigh-time electricity from excess daytime solar power,Ech Consulting Engineers Pty Ltd,"Echimi, Peter",5/02/2016,GRANTED,
2016100264,Solar Energy Capture and Storage System with Revenue Recovery through Energy Sales,"Elliston, Barbara Louise; PV Direct Limited","Elliston, Barbara Louise",10/03/2016,GRANTED,
2016100361,solar panels mount on pontoons with adjustable anchorage to allow different water levels and still having high wind rating,BROIDAL CONTRACTING PTY LTD,"Dal Broi, Gavin Anthony",1/04/2016,FILED,
2016100368,SOLAR COOKER THAT USES A NON-IMAGING CONCENTRATOR FOR HIGH TEMPERTATURE COOKING,"edmonds, ian DR","edmonds, ian",5/04/2016,GRANTED,
2016100431,"A floating, deploy-able, remote, and autonomous water quality monitoring device. The device is placed in waterways or the ocean, and floats on the water giving position and speed, connectivity, and a range of water quality measurements. A camera may also be included to capture an image as the device floats along. The device runs on solar panels and/or batteries.",NEALE PROJECTS PTY. LTD.,"Neale, Timothy John",20/04/2016,GRANTED,
2016100459,A solar underground LED lawn lamp,"Xiangpai (Xiamen) E-Business Co., Ltd","FAN, HANJING",22/04/2016,GRANTED,
2016100742,A solar LED lighting device,"Quanzhou City Laite Lighting Co., Ltd.","Sun, XuDong",23/05/2016,ACCEPTED,
2016100759,Floatation device for solar panels,HydroSun Capital Pty Ltd,"Lunoe, Soren; Szumer, Emanuel Hillel; Reddel, Daniel",25/05/2016,ACCEPTED,
2016200120,A SOLAR POWERED LIGHTING SYSTEM,Kimberley Plastics Pty Ltd,"Brian, Kimberley",8/01/2016,FILED,
2016200126,"SOLAR LAMP, PCB CIRCUIT FOR THE SOLAR LAM AND A PREPARATION METHOD THEREOF",Fujian Joy Solar Technology Corporation,"Chen, Guangyan",8/01/2016,FILED,
2016200358,Enclosing a Photovoltaic Laminate,Solar Century Holdings Limited,"BRAND, Ryan; EASTWELL, Hannah Rose; ELTRINGHAM, Steven; ITALIANO, Peter; STURGEON, Jonathan",21/01/2016,FILED,
2016200455,Integrated solar collectors using epitaxial lift off and cold weld bonded semiconductor solar cells,The Regents of the University of Michigan,"Forrest, Stephen R.; Renshaw, Christopher Kyle; Slootsky, Michael",27/01/2016,FILED,
2016200464,Solar heat collecting system,Kabushiki Kaisha Toshiba,"Goto, Koichi; Takahata, Kazuo; Kosuga, Takahiro",27/01/2016,FILED,
2016200610,Structures and methods of formation of contiguous and non-contiguous base regions for high efficiency back-contact solar cells,"Solexel, Inc.","Deshpande, Anand; Kapur, Pawan; Rana, Virendra V.; Moslehi, Mehrdad M.; Seutter, Sean M.; Deshazer, Heather; Kommera, Swaroop; Anbalagan, Pranav; Rattle, Benjamine E.; Coutant, Solene",1/02/2016,FILED,
2016200826,SYSTEM AND METHOD FOR CONTROLLING RAMP RATE OF SOLAR PHOTOVOLTAIC SYSTEM,General Electric Company,"Liu, Yan; Garces, Luis Jose; Bose, Sumit",9/02/2016,FILED,
2016200879,"Solar-module Frame Profile, Solar Module and Method of Adhesively Bonding a Solar-Module Frame Profile to the Solar-Module Laminate",Hanwha Q Cells GmbH,"MOLITOR, Heiko; DEWENTER, Marc; EBENROTH, Thomas; BUSSE, Henning",11/02/2016,FILED,
2016201948,"Solar concentrator, and heat collection apparatus and solar thermal power generation apparatus including same","Mitsubishi Heavy Industries, Ltd","Furutani, Akira; Furuta, Taizan",29/03/2016,FILED,
2016202055,HIGH-EFFICIENCY SOLAR CELL STRUCTURES AND METHODS OF MANUFACTURE,"Tetrasun, Inc","Wittman, Oliver; Deceuster, Denis",1/04/2016,FILED,
2016202891,Automatic generation and analysis of solar cell IV curves,SunPower Corporation,"Fischer, Kevin C.; Kraft, Steven M.; Jones, Jason C.",5/05/2016,FILED,
2016202929,Conversion of Solar Energy,Solagen Pty Ltd,"LASICH, JOHN BEAVIS",6/05/2016,FILED,
2016203039,Systems and methods for selectively producing steam from solar collectors and heaters for processes including enhanced oil recovery,"Glasspoint Solar, Inc.","O'Donnell, John Setel; Von Behrens, Peter Emery; Nady, Andras; Heisler, Stuart M.",11/05/2016,FILED,
2016900040,Method of installing solar photovoltaic (PV) panels on steel roofs,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",7/01/2016,FILED,
2016900067,A method of installing Solar PV panels on corrugated steel roofs,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",11/01/2016,FILED,
2016900144,A cable deployment and retrieval system for a marine vessel,Solar Sailor Pty Ltd,"Dane, Robert",18/01/2016,WITHDRAWN,
2016900224,"Poly ethylene solar hot water system tank and panels, both thermosyphon and split system styles",WALLANDALE PTY. LTD.,"holland, vincent",25/01/2016,FILED,
2016900256,THERMAL SOLAR FLUID HEATER,Supreme Solar Pty Ltd,"Mauger, James; Mauger, Colin",28/01/2016,FILED,
2016900418,"Solaclad is a nanotechnology based solar energy system – opaque, translucent or transparent, surface applied or integral – suitable for a wide range of applications including all built environments and surfaces.",SOLACLAD PTY LTD,"Fox, Michael",9/02/2016,FILED,
2016900422,A passively tracking solar air heater,"Ashby, David","Ashby, David",9/02/2016,FILED,
2016900456,The solar system is a new and innovative device to improve collection of power output from a solar panel whilst also producing clean drinking water at the same time from the same device.,"Butson, Macinley MS","Butson, Macinley",10/02/2016,FILED,
2016900459,Solar PV Snap-lock Base for Corrugated Steel Roofs,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",11/02/2016,FILED,
2016900633,Screw pile for use with solar panels,Multiturn Pty Ltd,Not Given,23/02/2016,FILED,
2016900768,Ember warrior solar powered automated roof sprinkler system,POWERAGE ELECTRICS AUSTRALIA PTY LTD,"Wos, Chris; Fitzpatrick, Tyron",2/03/2016,FILED,
2016900835,Modular Solar Lighting and Power Management System and Apparatus,REDI-LITE PTY LTD,"Hawley, Mark; Flint, Tony",7/03/2016,FILED,
2016901073,SOLAR ENERGY CONCENTRATORS,"Yeomans, Allam James MR","Yeomans, Allam James",22/03/2016,FILED,
2016901247,Automatic Device for Cleaning Solar Photovoltaic Panels Without Damage to the Solar Installation and With Maximum Water Efficiency,IRONSTONE TECHNOLOGY PTY LTD,"Humphries, Edwin",5/04/2016,FILED,
2016901322,A multifunctional piezo wind thermal hybrid solar cell energy harvesting system and its applications,"Jevon, Andrew Stewart MR; Logos Energy Australia Pty Ltd","Jevon, Andrew Stewart",10/04/2016,FILED,
2016901433,An Integrated Solar PV Atmospheric Water Generator,"Eng, Yeon Kieng MR","Eng, Yeon Kieng",18/04/2016,FILED,
2016901632,Solar Bin,Solar Bins Australia Pty Ltd,"Hayes, Leon",3/05/2016,FILED,
2016901684,Resource Enhancer. My idea is in natural resources. It uses multiple things to harness natural resources as water and air. It then uses a converter to transfer to generators that then turn the power into electricity. Creating a gain over standard current means that have a curtain percentage of efficiency while the rest is lost. It can also be used in combination with solar panels to generating power in times of inaction in wind farms when wind is absent. I am hoping to do some additional testing to refine my ideas and chose what's best. can be used in transport.,"Kennedy, Sean Ciaran MR","Kennedy, Sean Ciaran",6/05/2016,FILED,
2016901760,Solar Power Forecasting,Commonwealth Scientific and Industrial Research Organisation,"WEST, Sam; LAGERSTROM, Ryan; SUN, Changming; COLLINS, Mike; RAE, Mick",11/05/2016,FILED,
2016901838,Solar Energy Collection System,"Palmer, Glen Scott; Van Dongen, Charles Cornelus","Palmer, Glen Scott; Van Dongen, Charles Cornelus",17/05/2016,FILED,
2016902007,SOLAR TRACKING SYSTEM,Xirasol Pty Ltd,"Melton, Glenn Robert; Brady, Allan James",27/05/2016,FILED,
2016902228,A Marine Sailing Vessel,Solar Sailor Pty Ltd,"Dane, Robert",8/06/2016,FILED,
